"CODINST";"NOMBREINSTITUCION";"CODIGOMUNICIPIO";"NOMBREMUNICIPIO";"DEPARTAMENTO";"CALENDARIO";"NATURALEZA";"JORNADA";"PROMEDIOMATEMATICA";"PROMEDIOQUIMICA";"PROMEDIOFISICA";"PROMEDIOBIOLOGIA";"PROMEDIOFILOSOFIA";"PROMEDIOINGLES";"PROMEDIOLENGUAJE";"PROMEDIOSOCIALES";"DESVIACIONMATEMATICA";"DESVIACIONQUIMICA";"DESVIACIONFISICA";"DESVIACIONBIOLOGIA";"DESVIACIONFILOSOFIA";"DESVIACIONINGLES";"DESVIACIONLENGUAJE";"DESVIACIONSOCIALES";"EVALUADOS";"PERIODO"
9928;"COLEGIO MUNICIPAL DE BACHILLERATO JESUS MARIA AGUIRRE CHARRY";41016;"AIPE";"HUILA";"A";"OFICIAL";"MAÑANA";45,26;44,12;43,45;43,7;40,38;40,95;44,95;44,32;8,68;5,74;6,75;5,97;7,87;6,76;6;7,57;74;20122
9936;"COLEGIO NACIONALIZADO JUAN XXIII";41020;"ALGECIRAS";"HUILA";"A";"OFICIAL";"MAÑANA";46,75;45,51;43,48;45,7;41,68;39,87;46,48;44,46;9,99;5,73;7,6;6,77;7,95;6,91;5,96;8,21;63;20122
9944;"INSTITUCION EDUCATIVA DIVINO SALVADOR";41026;"ALTAMIRA";"HUILA";"A";"OFICIAL";"MAÑANA";46,44;46,18;44,22;47,47;42,4;47,2;48,67;47,18;11,52;5,47;6,57;7,62;7,41;7,76;6,98;7,27;45;20122
9951;"INSTITUCION EDUCATIVA ANTONIO BARAYA";41078;"BARAYA";"HUILA";"A";"OFICIAL";"MAÑANA";43,18;43,93;43,04;43,42;40,98;42,4;44,67;42,91;8;5,22;6,34;6,68;7,42;5,57;5,6;6,76;45;20122
9969;"COLEGIO MUNICIPAL DE BACHILLERATO EUGENIO FERRO FALLA";41132;"CAMPOALEGRE";"HUILA";"A";"OFICIAL";"MAÑANA";46,97;46,89;44,66;46,24;41,23;44,43;47,46;45,96;10,07;5,29;6,66;6,29;8,02;6,41;6,45;7,7;98;20122
9985;"COLEGIO DE BACHILLERATO NOCTURNO LUIS CALIXTO LEYVA";41298;"GARZON";"HUILA";"F";"NO OFICIAL";"NOCHE";42,56;42;44;41,33;35,67;38,33;45,11;44,44;5,79;4,33;6,38;5,34;6,28;4,53;5,18;10,64;9;20122
9993;"COLEGIO COOPERATIVO LA PRESENTACION";41298;"GARZON";"HUILA";"A";"NO OFICIAL";"COMPLETA U ORDINARIA";57,13;51,63;53,48;53,92;47,25;52,42;53,02;51,58;11,04;6,85;8,79;7,68;6,92;11,87;5,64;8,63;48;20122
10009;"INSTITUCION EDUCATIVA SIMON BOLIVAR";41298;"GARZON";"HUILA";"A";"OFICIAL";"MAÑANA";47,4;46,6;43,92;48,26;41,8;43,28;48,36;45,75;11,57;6,63;7,53;7,03;8,16;6,81;6,22;8,7;102;20122
10017;"INSTITUCION EDUCATIVA SIMON BOLIVAR";41298;"GARZON";"HUILA";"A";"OFICIAL";"TARDE";47,91;47,11;45,39;49,09;42,52;49,25;48,16;48,75;10,18;7,21;7,89;7,81;8,43;10,15;6,59;7,91;56;20122
10033;"COLEGIO NACIONAL ISMAEL PERDOMO BORRERO";41306;"GIGANTE";"HUILA";"A";"OFICIAL";"COMPLETA U ORDINARIA";52,09;48,7;46,04;47,63;42,28;43,3;46,57;45,24;12,03;6,13;7,67;6,87;8,38;7,91;6,11;7,25;46;20122
10041;"ESCUELA NORMAL SUPERIOR";41306;"GIGANTE";"HUILA";"A";"OFICIAL";"COMPLETA U ORDINARIA";51,09;49,7;47,36;47,52;41,85;45,03;48,97;48,12;12,21;6,2;7,05;8,94;7,86;6,31;6,52;7,77;33;20122
10058;"INSTITUCION EDUCATIVA MARILLAC";41396;"LA PLATA";"HUILA";"A";"OFICIAL";"COMPLETA U ORDINARIA";46,53;48,7;46,8;47,11;42,19;47,91;50,3;48,3;10,95;5,37;8,69;7,41;7,95;8,19;6,75;7,59;64;20122
10066;"INSTITUCION EDUCATIVA SAN SEBASTIAN";41396;"LA PLATA";"HUILA";"A";"OFICIAL";"COMPLETA U ORDINARIA";47,27;47,46;45,56;46,24;41,16;44,31;48,01;45,7;10,71;5,59;7,05;6,76;7,52;8,84;5,91;7,75;114;20122
10074;"INSTITUCION EDUCATIVA SAN JUAN BOSCO";41524;"PALERMO";"HUILA";"A";"OFICIAL";"COMPLETA U ORDINARIA";49,1;48,52;45,06;47,47;41,27;42,74;46,69;45,46;9;5,84;7,2;6,21;7,96;6,41;5,34;6,81;104;20122
10090;"INSTITUCION EDUCATIVA DEPARTAMENTAL";41551;"PITALITO";"HUILA";"A";"OFICIAL";"MAÑANA";47,36;47,31;45,6;47,31;40,86;43,6;47,28;45,83;11,03;5,43;7,39;7,37;7,81;7,45;5,9;7,68;149;20122
10108;"COLEGIO DE LA PRESENTACION";41551;"PITALITO";"HUILA";"A";"NO OFICIAL";"COMPLETA U ORDINARIA";57,31;55,16;49,36;53,09;46,62;52,27;51,13;50,16;10,96;6,28;7,61;8,82;8,59;12,36;7,36;8,2;45;20122
10116;"INSTITUCION EDUCATIVA NACIONAL";41551;"PITALITO";"HUILA";"A";"OFICIAL";"MAÑANA";49,41;51,03;47,22;49,55;43,2;47,24;49,36;49,05;11,4;7,35;8,65;8,84;8,88;8,14;6,05;7,93;94;20122
10132;"INSTITUCION EDUCATIVA NORMAL SUPERIOR";41551;"PITALITO";"HUILA";"A";"OFICIAL";"MAÑANA";47,27;49,74;44,79;48,57;42,64;45,89;48,3;47,33;10,46;5,72;7,15;6,88;8,31;7,74;5,68;7,77;94;20122
10140;"COLEGIO COOPERATIVO CAMPESTRE";41615;"RIVERA";"HUILA";"A";"NO OFICIAL";"COMPLETA U ORDINARIA";53,33;49,85;45,37;50,41;44,19;54,48;52,96;49,7;10,11;6,57;7,59;8,01;7,69;14,89;5,83;8,11;27;20122
10157;"COLEGIO MUNICIPAL DE BACHILLERATO NOCTURNO SAN AGUSTIN";41668;"SAN AGUSTIN";"HUILA";"A";"OFICIAL";"NOCHE";39,88;42,17;43,05;41,5;36,38;38,34;42,62;40,31;9,67;4,16;6,27;8,55;8,26;4,75;5,37;8,23;58;20122
10165;"COLEGIO NACIONAL LAUREANO GOMEZ";41668;"SAN AGUSTIN";"HUILA";"A";"OFICIAL";"MAÑANA";51,33;50,89;47,03;48,97;42,95;49,38;48,61;46,93;11,44;6,61;7,7;8,24;7,48;7,68;4,45;8,46;61;20122
10181;"COLEGIO DEL ROSARIO NACIONALIZADO";41797;"TESALIA";"HUILA";"A";"OFICIAL";"COMPLETA U ORDINARIA";43,08;44,51;44,76;45,82;39,74;41,83;46,28;46,04;9,38;5,22;5,58;6,58;8,38;5,42;6,1;7,8;72;20122
10199;"BACHILLERATO NOCTURNO DEPARTAMENTAL TIMANCO";41807;"TIMANA";"HUILA";"A";"OFICIAL";"NOCHE";37,06;40,78;44,72;43;37,39;37,78;41,67;39,89;9,58;4,26;6,35;5,4;7,73;4,63;3,05;7,5;18;20122
10207;"INSTITUCION EDUCATIVA LA GAITANA";41807;"TIMANA";"HUILA";"A";"OFICIAL";"MAÑANA";45,21;47,58;45,84;45,97;40,42;40,42;46;46,32;11,7;7,08;8,04;8,67;7,96;5,11;6,49;7,63;62;20122
10215;"COLEGIO DIVINA PASTORA";44001;"RIOHACHA";"LA GUAJIRA";"A";"OFICIAL";"COMPLETA U ORDINARIA";46,34;45,25;43,39;44,83;41,24;41,93;47,01;45,76;9,94;4,8;7,14;6,6;8,09;6,62;6,53;7,91;182;20122
10223;"COLEGIO LA SAGRADA FAMILIA";44001;"RIOHACHA";"LA GUAJIRA";"A";"OFICIAL";"MAÑANA";48,22;48,07;43,06;47,71;44,31;47,61;49,1;47,21;10,81;5,66;7,07;6,86;7,76;8,56;6,25;8,9;89;20122
10231;"LICEO NACIONAL ALMIRANTE PADILLA";44001;"RIOHACHA";"LA GUAJIRA";"A";"OFICIAL";"MAÑANA";44,52;45,51;42,65;43,57;38,3;39,89;45,31;43,42;10,37;5,62;8,25;7,29;8,98;7,9;6,82;8,11;142;20122
10249;"LICEO NACIONAL ALMIRANTE PADILLA";44001;"RIOHACHA";"LA GUAJIRA";"A";"OFICIAL";"TARDE";41,19;43,96;42,11;41,84;39,13;39,1;44,05;43,25;8,47;5,13;6,69;6,1;7,65;4,85;5,13;7,64;79;20122
10256;"LICEO NACIONAL ALMIRANTE PADILLA";44001;"RIOHACHA";"LA GUAJIRA";"A";"OFICIAL";"NOCHE";39,5;41,08;41,28;39,35;35,22;38;41,06;38,33;9,26;4,53;6,96;7,98;7,94;5,81;5,96;7,87;88;20122
10264;"COLEGIO NACIONAL DE VARONES";44279;"FONSECA";"LA GUAJIRA";"A";"OFICIAL";"MAÑANA";43,16;43,78;43,58;41,95;38,29;40,51;43,84;41,03;9,47;5,09;7;7,1;8,99;6,41;5,83;7,8;129;20122
10272;"INSTITUCION EDUCATIVA ROIG Y VILLALBA";44279;"FONSECA";"LA GUAJIRA";"A";"OFICIAL";"MAÑANA";44,5;46,47;44,04;44,14;40,65;41,41;44,83;43,03;8,32;5,5;7,66;7,13;6,94;7,9;5,86;8,92;78;20122
10280;"INSTITUCION EDUCATIVA NO. 4  SEDE SAN JOSE";44430;"MAICAO";"LA GUAJIRA";"A";"OFICIAL";"MAÑANA";42,9;45,48;45;42,37;38,52;38,97;44,58;44,63;9,3;5,33;8,7;6;9,42;6,12;6,56;8,29;60;20122
10298;"COLEGIO DEPARTAMENTAL DE BACHILLERATO SAN JOSE";44430;"MAICAO";"LA GUAJIRA";"F";"OFICIAL";"NOCHE";40,16;40,66;40,25;39,71;35,06;36,63;40,4;38,65;8,19;4,44;6,4;6,09;7,18;5,34;6,51;7,27;80;20122
10306;"COLEGIO SANTA CATALINA DE SENA";44430;"MAICAO";"LA GUAJIRA";"A";"OFICIAL";"MAÑANA";48,44;47,56;43,37;47,24;45,56;44,88;49,17;49,63;10,17;5,28;6,09;7,2;9,52;7,65;6,19;7,71;41;20122
10314;"INSTITUCION EDUCATIVA NORMAL SUPERIOR";44650;"SAN JUAN DEL CESAR";"LA GUAJIRA";"A";"OFICIAL";"MAÑANA";44,48;43,76;44,34;43,44;39,01;40,08;43,77;42,96;9,39;5,17;6,81;5,66;7,98;6,24;5,52;5,55;79;20122
10322;"COLEGIO NACIONALIZADO EL CARMELO";44650;"SAN JUAN DEL CESAR";"LA GUAJIRA";"A";"OFICIAL";"COMPLETA U ORDINARIA";47,79;47,56;46,67;46,41;43,7;44,48;47,61;46,37;8,03;5,58;7,95;7,62;7,27;7,71;5,94;7,87;132;20122
10330;"INSTITUCION EDUCATIVA NORMAL SUPERIOR INDIGENA";44847;"URIBIA";"LA GUAJIRA";"A";"OFICIAL";"COMPLETA U ORDINARIA";44,48;45,57;42,15;45,44;42,63;40,31;45,91;44,07;9,85;5,29;7,29;7,36;7,46;6,34;7,32;8,43;54;20122
10348;"COLEGIO DE BACHILLERATO ROQUE DE ALBA";44874;"VILLANUEVA";"LA GUAJIRA";"A";"OFICIAL";"MAÑANA";46,68;46,66;45,54;45,94;40,03;39,86;46,43;44,8;9,53;5,62;6,67;5,51;6,72;5,88;5,76;8,68;65;20122
10363;"ATENEO MODERNO";47001;"SANTA MARTA";"MAGDALENA";"A";"NO OFICIAL";"TARDE";52,22;49,65;46,5;48,66;45,18;52,12;51,08;49,92;11,85;7,26;8,45;7,61;9,19;11,02;7,51;9,67;74;20122
10389;"COLEGIO DE LA PRESENTACION";47001;"SANTA MARTA";"MAGDALENA";"A";"NO OFICIAL";"MAÑANA";53,32;51,74;50,78;54,04;48,1;63,99;54,99;55,47;9,54;6,01;8,28;8,15;7,64;10,94;5,77;6,9;73;20122
10397;"COLEGIO FRANCISCANO SAN LUIS BELTRAN";47001;"SANTA MARTA";"MAGDALENA";"A";"NO OFICIAL";"MAÑANA";53,41;47,52;48,5;51,34;44,71;57,65;51,49;49,92;10,05;6,22;7,15;8,39;8,57;13,77;6,04;8,87;96;20122
10413;"INSTITUCION EDUCATIVA DISTRITAL ESCUELA NORMAL SUPERIOR MARIA AUXILIADORA";47001;"SANTA MARTA";"MAGDALENA";"A";"OFICIAL";"COMPLETA U ORDINARIA";50,82;50,27;50,32;50,12;48,2;51,14;52,74;51,27;9,58;5,38;6,71;7,67;8,17;11,23;5,34;7,5;84;20122
10421;"ESCUELA NORMAL SUPERIOR SAN PEDRO ALEJANDRINO";47001;"SANTA MARTA";"MAGDALENA";"A";"OFICIAL";"MAÑANA";48,42;46,53;44,83;48,06;43,1;46,88;47,76;47,06;9,81;5,65;6,81;6,85;7,3;9,85;6,56;8,82;109;20122
10439;"EXTERNADO NACIONAL HUGO J. BERMUDEZ";47001;"SANTA MARTA";"MAGDALENA";"A";"OFICIAL";"MAÑANA";44,75;44,73;43,77;44,75;39,14;43,62;45,37;43,3;11,04;4,91;7,28;7,07;8,86;8,39;6,25;7,97;73;20122
10447;"EXTERNADO NACIONAL HUGO J. BERMUDEZ";47001;"SANTA MARTA";"MAGDALENA";"A";"OFICIAL";"TARDE";42,03;43,42;44,81;42,31;37,53;40,53;44,06;41,14;10,52;4,93;5,33;7,05;9,43;7,96;6,22;9;36;20122
10470;"INEM SIMON BOLIVAR";47001;"SANTA MARTA";"MAGDALENA";"A";"OFICIAL";"MAÑANA";42,13;45,95;44,54;43,87;38,51;40,47;44,13;41,61;10,67;5,53;7,64;7,48;7,94;7,86;6,32;8,03;183;20122
10488;"INSTITUCION EDUCATIVA DISTRITAL  SIMON BOLIVAR";47001;"SANTA MARTA";"MAGDALENA";"A";"OFICIAL";"TARDE";37,34;40,59;40,83;41,98;35,2;36,95;42,39;39,78;8,12;4,7;6,36;8,01;7,99;6,14;5,04;5,7;41;20122
10496;"INSTITUCION EDUCATIVA DISTRITAL LAURA VICUÑA";47001;"SANTA MARTA";"MAGDALENA";"A";"OFICIAL";"MAÑANA";45,43;46,02;42,73;46,5;41,81;45,43;48,29;46,39;9,74;5,41;6,51;7,07;7,35;7,86;6,83;8,57;128;20122
10512;"COLEGIO NACIONAL INSTITUTO TECNICO INDUSTRIAL";47001;"SANTA MARTA";"MAGDALENA";"A";"OFICIAL";"COMPLETA U ORDINARIA";46,24;45,39;45,33;46,1;41,05;42,36;44,5;42,94;11,02;6,58;6,97;7,24;8,38;10,51;6,36;8,75;80;20122
10520;"INSTITUCION EDUCATIVA DISTRITAL LICEO CELEDON";47001;"SANTA MARTA";"MAGDALENA";"A";"OFICIAL";"MAÑANA";41,44;42,42;43,04;43,02;37,12;39,01;43,17;40,27;9,11;4,64;6,42;6,3;8,14;7,03;6,06;7,68;93;20122
10546;"INSTITUCION EDUCATIVA DISTRITAL LICEO CELEDON";47001;"SANTA MARTA";"MAGDALENA";"A";"OFICIAL";"NOCHE";38,43;39,86;39,35;38,81;32,41;35,87;41,52;36,49;9,11;5,09;7,31;7,36;10,05;6,33;5,7;7,83;63;20122
10561;"LICEO DEL CARIBE";47001;"SANTA MARTA";"MAGDALENA";"A";"NO OFICIAL";"COMPLETA U ORDINARIA";47,17;46,69;44,52;46,93;39,17;46,81;46,43;44,02;9,81;6,93;6,17;5,62;8,4;10,74;6,73;9,79;42;20122
10587;"COLEGIO DIOCESANO SAN JOSE";47001;"SANTA MARTA";"MAGDALENA";"A";"NO OFICIAL";"MAÑANA";54,55;52,26;49,66;51,66;44,83;54,02;52,18;50,94;10,81;5,97;7,82;8,21;8,52;11,7;5,72;7,9;65;20122
10595;"COLEGIO MIXTO DE BACHILLERATO NACIONALIZADO";47053;"ARACATACA";"MAGDALENA";"A";"OFICIAL";"MAÑANA";40,46;42;41,4;41,97;33,91;38,88;42,03;37,75;9,03;4,92;6,51;6,44;9,37;6,6;6,31;8,22;89;20122
10603;"COLEGIO MIXTO DE BACHILLERATO NACIONALIZADO";47053;"ARACATACA";"MAGDALENA";"A";"OFICIAL";"NOCHE";42,14;40,97;41,41;37,97;33,69;37,9;39,66;33,66;8,1;5,58;6,69;7,5;8,02;5,33;9,5;7,97;29;20122
10611;"INSTITUCION EDUCATIVA DEPARTAMENTAL LICEO ARIGUANI";47058;"ARIGUANI (EL DIFICIL)";"MAGDALENA";"A";"OFICIAL";"MAÑANA";41,4;43,95;41,81;42,92;37,19;39,55;43,47;40,42;9,53;5,36;6,31;8,24;8,19;6,01;6,16;8,86;131;20122
10678;"INSTITUTO NACIONAL SAN JUAN DEL CORDOBA";47189;"CIENAGA";"MAGDALENA";"A";"OFICIAL";"MAÑANA";41,1;43,17;43,8;41,82;35,27;39,47;43,01;40,01;9,06;4,88;5,91;7,48;8,42;5,59;5,78;7,67;139;20122
10686;"INSTITUTO NACIONAL SAN JUAN DEL CORDOBA";47189;"CIENAGA";"MAGDALENA";"A";"OFICIAL";"TARDE";40,22;41,67;41,75;39,67;35,44;37,14;41,78;37,34;8,94;4,84;6,68;6,69;7,87;5,75;5,13;7,88;73;20122
10702;"INSTITUTO DEPARTAMENTAL DE COMERCIO VIRGINIA GOMEZ";47189;"CIENAGA";"MAGDALENA";"A";"OFICIAL";"MAÑANA";41,25;44,06;42,02;43,55;37,87;40,79;45,41;41,83;9,23;4,17;6,59;6,58;8,31;6,28;5,59;7,94;133;20122
10710;"INSTITUCION EDUCATIVA DEPARTAMENTAL JOSE BENITO BARROS PALOMINO";47245;"EL BANCO";"MAGDALENA";"A";"OFICIAL";"MAÑANA";45,36;44,86;43,29;44,85;41,38;41,79;45,6;43,99;9,28;5,07;6,55;6,41;7,68;7,88;5,3;7,75;72;20122
10728;"INSTITUCION EDUCATIVA DEPARTAMENTAL JOSE BENITO BARROS PALOMINO";47245;"EL BANCO";"MAGDALENA";"A";"OFICIAL";"TARDE";43,41;44,64;42,67;43,36;37,88;40,34;41,6;42,66;8,69;4,8;6,7;6,69;8,74;5,84;6,22;6,9;58;20122
10736;"INSTITUCION EDUCATIVA DEPARTAMENTAL  SANTA TERESA DE JESUS";47245;"EL BANCO";"MAGDALENA";"A";"OFICIAL";"MAÑANA";46;45,65;44,72;45,99;39,74;41,77;46,73;45,05;10,14;5,8;7,86;6,68;7,28;5,66;5,95;6,73;95;20122
10744;"COLEGIO NACIONAL DE BACHILLERATO FRANCISCO DE PAULA SANTANDER";47288;"FUNDACION";"MAGDALENA";"A";"OFICIAL";"MAÑANA";41,74;45,17;41,38;44,08;38,36;40,24;44,41;40,47;8,95;5,19;6,85;5,66;8,94;5,57;5,58;7,93;90;20122
10751;"COLEGIO LA SAGRADA FAMILIA";47288;"FUNDACION";"MAGDALENA";"A";"NO OFICIAL";"MAÑANA";47,32;46,32;45,68;47,5;41,39;45,93;48,11;44,48;8,75;5,45;6,3;8,28;8,01;8,29;6,91;10,44;56;20122
10785;"INSTITUCION EDUCATIVA DEPARTAMENTAL BIENVENIDO RODRIGUEZ";47318;"GUAMAL";"MAGDALENA";"A";"OFICIAL";"MAÑANA";42,16;43,31;43,51;41,68;38,68;40,44;43,11;40,28;8,41;5,08;6,88;7,23;8,53;6,39;5,99;7,36;100;20122
10801;"INSTITUCION EDUCATIVA LICEO PIVIJAY";47551;"PIVIJAY";"MAGDALENA";"A";"OFICIAL";"MAÑANA";49,28;46,81;46,96;48,44;43,82;45,78;48,91;48,04;10,07;5,18;7,57;8,27;7,59;8,36;6,01;8,45;68;20122
10819;"INSTITUCION EDUCATIVA LICEO PIVIJAY";47551;"PIVIJAY";"MAGDALENA";"A";"OFICIAL";"TARDE";45,49;46,33;45,51;44,39;41,37;40,04;47,14;49,33;10,22;6,35;7,51;6,43;7,99;5,75;5,19;8,01;57;20122
10835;"INSTITUCION EDUCATIVA GABRIEL ESCOBAR BALLESTAS";47555;"PLATO";"MAGDALENA";"A";"OFICIAL";"MAÑANA";42,22;44,51;43,2;43,4;38,92;39,28;44,29;42,19;10,43;5,08;7,23;7,74;8,29;5,79;6,02;7,83;85;20122
10843;"INSTITUCION EDUCATIVA GABRIEL ESCOBAR BALLESTAS";47555;"PLATO";"MAGDALENA";"A";"OFICIAL";"TARDE";40,15;42,55;41,62;42,19;35,36;37,45;40,66;38,83;10,53;3,74;6,08;5,62;7,03;6,59;5,3;7,43;47;20122
10868;"COLEGIO SIMON BOLIVAR";47798;"TENERIFE";"MAGDALENA";"A";"OFICIAL";"COMPLETA U ORDINARIA";40;42,2;41,83;39,91;37,78;38,98;42,8;41,65;8,32;3,95;6,55;5,93;8,83;4,69;4,32;6;46;20122
10876;"COLEGIO NACIONALIZADO FEMENINO DE BACHILLERATO";50001;"VILLAVICENCIO";"META";"A";"OFICIAL";"MAÑANA";50,97;48,99;44,66;48,74;44,06;49,76;49,72;49,89;9,99;4,97;6,94;7,64;7,36;10,44;5,19;8,3;109;20122
10884;"COLEGIO NACIONALIZADO FEMENINO DE BACHILLERATO";50001;"VILLAVICENCIO";"META";"A";"OFICIAL";"TARDE";48,07;49,27;46,2;47,9;44,49;47,34;50,37;48,78;10,05;5,32;5,52;8,27;5,84;9,08;5,68;7,23;41;20122
10918;"COLEGIO NUESTRA SEÑORA DE LA SABIDURIA";50001;"VILLAVICENCIO";"META";"A";"NO OFICIAL";"COMPLETA U ORDINARIA";50,58;49,65;44,55;49,74;44,65;50,42;52,35;47,81;9,49;4,85;6,89;7,02;6,59;7,11;6,25;6,12;31;20122
10934;"ESCUELA NORMAL NACIONAL";50001;"VILLAVICENCIO";"META";"A";"OFICIAL";"MAÑANA";48,41;48,28;44,79;48,93;44,77;47,94;50,56;48,66;11,08;5,1;7,9;7,49;6,99;9,22;5,75;7,67;134;20122
10942;"INSTITUTO NACIONAL FRANCISCO JOSE DE CALDAS";50001;"VILLAVICENCIO";"META";"A";"OFICIAL";"MAÑANA";51,21;48,91;46,91;49,87;43,57;46,49;49,52;47,71;14,1;7,01;7,91;8,4;6,67;11,13;6,67;8,51;77;20122
10959;"INSTITUTO NACIONAL FRANCISCO JOSE DE CALDAS";50001;"VILLAVICENCIO";"META";"A";"OFICIAL";"TARDE";51,06;50,76;45,78;49,97;40,84;52,16;48,78;47,61;12,05;5,89;6,71;7,33;8,15;8,18;6,17;7,52;67;20122
10967;"INSTITUTO NACIONAL FRANCISCO JOSE DE CALDAS";50001;"VILLAVICENCIO";"META";"F";"OFICIAL";"NOCHE";42,35;44,19;41,81;45,96;38,92;40,42;42,08;42,92;10,49;5,07;6,16;5,82;6,78;5,23;9,76;11,4;26;20122
10975;"COLEGIO COOPERATIVO DE BACHILLERATO ANTONIO VILLAVICENCIO";50001;"VILLAVICENCIO";"META";"A";"NO OFICIAL";"MAÑANA";51,51;49,56;46,96;51,58;42,76;52,91;50,49;48,56;9,97;6,1;6,91;6,45;7,93;9,39;5,74;8,08;55;20122
11007;"COLEGIO LA SALLE";50001;"VILLAVICENCIO";"META";"A";"NO OFICIAL";"COMPLETA U ORDINARIA";61,07;53,34;50,29;54,56;49,03;63,51;54,72;56,19;14,16;6,76;8,52;7,75;7,02;12,61;6,49;7,58;68;20122
11015;"INEM LUIS LOPEZ DE MESA";50001;"VILLAVICENCIO";"META";"A";"OFICIAL";"MAÑANA";47,75;47,21;45,25;47,25;42,17;44,42;47,83;47,42;10,98;5,65;7,8;6,98;7,85;7,96;5,88;8,44;363;20122
11023;"INEM LUIS LOPEZ DE MESA";50001;"VILLAVICENCIO";"META";"A";"OFICIAL";"TARDE";53,96;54,23;49,85;52,39;45,43;49,64;50,63;51,42;11,77;6,03;6,98;6,66;7,75;9,14;6,18;7,83;92;20122
11031;"INSTITUTO TECNICO INDUSTRIAL";50001;"VILLAVICENCIO";"META";"A";"OFICIAL";"MAÑANA";49,82;49,27;47,57;49,11;43,14;48,11;49,63;49,59;9,72;5,04;7,6;6,87;8,36;8,35;5,58;7,89;138;20122
11049;"COLEGIO NACIONALIZADO DE BACHILLERATO PABLO EMILIO RIVEROS";50006;"ACACIAS";"META";"F";"OFICIAL";"NOCHE";42,94;42,94;42,82;43,53;40,06;39,65;43;40,65;7,94;4,59;6,33;6,03;8,03;5,06;6,18;6,5;17;20122
11056;"COLEGIO NACIONALIZADO DE BACHILLERATO PABLO EMILIO RIVEROS";50006;"ACACIAS";"META";"A";"OFICIAL";"MAÑANA";49,93;49,34;46,15;47,66;42,39;43,98;47,92;46,36;10,89;6,88;8,88;8,08;8,26;7,98;7,21;8,94;168;20122
11072;"COLEGIO NUESTRA SEÑORA DE LA SABIDURIA";50006;"ACACIAS";"META";"A";"NO OFICIAL";"COMPLETA U ORDINARIA";53,38;51,16;47,36;51,74;44,86;53,2;51,92;50,58;11,22;6,19;6,76;8,27;9,23;11,05;6,79;7,3;50;20122
11080;"ESCUELA NORMAL SUPERIOR ACACIAS";50006;"ACACIAS";"META";"A";"OFICIAL";"MAÑANA";49,42;48,77;45,79;47,89;42,93;46,03;50,26;48,61;9,6;7,05;6,58;6,83;7,83;8,65;6,61;8,48;149;20122
11098;"UNIDAD EDUCATIVA JOSE EUSTASIO RIVERA";50223;"CUBARRAL";"META";"A";"OFICIAL";"MAÑANA";44,95;47,02;44,45;45,3;40,55;44,15;47,55;44,65;9,25;5,58;5,36;6,83;8,76;8,2;5,56;7,4;60;20122
11106;"COLEGIO JOSE ANTONIO GALAN";50226;"CUMARAL";"META";"A";"OFICIAL";"COMPLETA U ORDINARIA";47,3;46,66;44,21;45,1;41,55;43,02;47,14;45,64;10,97;6,28;7,57;7,94;7,81;6,71;6,21;8,33;192;20122
11148;"INSTITUCION EDUCATIVA CAMILO TORRES";50313;"GRANADA";"META";"A";"OFICIAL";"MAÑANA";43,39;44,62;44,04;45,14;39,76;42,15;45;44,83;8,48;4,88;6,1;7,04;8,87;6,43;6,33;6,94;111;20122
11155;"INSTITUCION EDUCATIVA INSTITUTO AGRICOLA LA HOLANDA";50313;"GRANADA";"META";"A";"OFICIAL";"COMPLETA U ORDINARIA";44,26;46,88;44,03;46,09;40,3;41,14;45,22;45,74;10,39;5,61;7,72;7,49;7,65;5,69;6,62;8,55;74;20122
11163;"ESCUELA NORMAL SUPERIOR MARIA AUXILIADORA";50313;"GRANADA";"META";"A";"OFICIAL";"MAÑANA";50,3;49,32;45,7;49,15;43,34;54,1;48,95;49,79;11,18;5,8;5,96;7,06;8,12;10,03;5,08;8,01;73;20122
11171;"COLEGIO NACIONALIZADO JOSE MARIA CORDOBA";50318;"GUAMAL";"META";"A";"OFICIAL";"MAÑANA";48,38;48,16;45,4;47,22;41,95;48,59;47,83;46,3;10,5;5,06;6,46;6,68;8,97;8,61;6,39;7,78;63;20122
11189;"INSTITUCION EDUCATIVA EMILIANO RESTREPO ECHAVARRIA";50606;"RESTREPO";"META";"A";"OFICIAL";"MAÑANA";45,29;45,43;44,71;45,06;39,08;41,76;47,1;44,41;10,47;6,62;6,76;7,46;8,03;6,86;5,89;8,02;80;20122
11197;"INSTITUCION EDUCATIVA EMILIANO RESTREPO ECHAVARRIA";50606;"RESTREPO";"META";"A";"OFICIAL";"TARDE";44,82;45,24;44,22;46,45;42,18;44,62;45,02;43,84;8,51;4,46;5,34;5,6;9,19;8,18;5,44;7,79;55;20122
11205;"COLEGIO NACIONAL INTEGRADO DE BACHILLERATO";50689;"SAN MARTIN";"META";"A";"OFICIAL";"COMPLETA U ORDINARIA";46,07;46,38;45,33;46,28;40,35;42,24;45,54;44,24;9,79;6,63;6,25;7,75;7,48;7,36;6,93;7,82;123;20122
11213;"INSTITUCION EDUCATIVA CIUDAD DE PASTO";52001;"PASTO";"NARIÑO";"A";"OFICIAL";"MAÑANA";55,25;53,45;49,81;53,49;47,96;54;52,38;53,24;11,76;7,01;8,7;9,21;7,5;10,27;6,76;8,59;195;20122
